                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2306,                 2.3466,                 1.4958,                0.84489,                0.74883,                0.79376,                0.47093,                 1.4404,                 2.5923,                 1.9438,             0.00030027,             0.00030027,             0.00030027
                      2,                 1.1572,                 1.4929,                 1.3836,                0.81739,                0.73791,                0.78072,                0.48269,                 1.4268,                 2.0799,                 1.8565,             0.00060028,             0.00060028,             0.00060028
                      3,                 1.1367,                 1.2831,                 1.3408,                0.88143,                 0.7913,                 0.8386,                0.49338,                  1.466,                 1.7038,                 1.8422,              0.0008973,              0.0008973,              0.0008973
                      4,                  1.139,                  1.178,                 1.3304,                   0.89,                0.75494,                 0.8398,                0.49511,                 1.4271,                 1.4205,                 1.8232,              0.0008955,              0.0008955,              0.0008955
                      5,                 1.1365,                  1.146,                 1.3469,                 0.8247,                0.84433,                0.83486,                0.49691,                 1.3556,                 1.4156,                 1.7076,               0.000891,               0.000891,               0.000891
                      6,                 1.1185,                 1.0492,                 1.3042,                0.89988,                0.81014,                0.87636,                0.51308,                 1.3774,                 1.2506,                 1.7497,              0.0008865,              0.0008865,              0.0008865
                      7,                 1.1074,                 1.0118,                 1.2984,                0.81604,                0.75845,                 0.8005,                0.48359,                 1.4962,                 1.4044,                  1.896,               0.000882,               0.000882,               0.000882
                      8,                 1.0968,                0.98162,                 1.2969,                0.91056,                0.80134,                0.87465,                0.52927,                 1.3906,                 1.1389,                 1.7271,              0.0008775,              0.0008775,              0.0008775
                      9,                 1.0799,                0.94306,                 1.2795,                0.89694,                0.86859,                0.88636,                0.55041,                 1.3014,                0.97908,                 1.6275,               0.000873,               0.000873,               0.000873
                     10,                 1.0844,                0.91187,                 1.2853,                0.89615,                0.85228,                0.89171,                0.54709,                 1.3265,                 1.0123,                 1.6527,              0.0008685,              0.0008685,              0.0008685
