epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.853,3.69395,5.65399,4.16536,0.00087,0.06696,0.00065,0.0003,4.71858,9.92591,4.1731,0.000542744,0.000542744,0.000542744
2,362.415,3.40094,4.21339,3.40934,0.00089,0.06696,0.00108,0.00044,4.71422,8.73877,4.06137,0.00109686,0.00109686,0.00109686
3,548.776,3.12653,3.31258,2.6137,0.51131,0.04018,0.00755,0.00214,3.66511,5.48831,2.94072,0.0016494,0.0016494,0.0016494
4,736.384,2.91374,2.79751,2.24405,0.74165,0.17538,0.21534,0.06382,2.58745,3.13624,2.25382,0.00165993,0.00165993,0.00165993
5,924.823,2.81032,2.50688,2.05491,0.61211,0.29067,0.31203,0.09651,2.6412,2.22614,2.2214,0.00165757,0.00165757,0.00165757
6,1113.12,2.73117,2.36369,2.03269,0.50605,0.33929,0.31622,0.106,2.44979,2.29992,2.14289,0.00165521,0.00165521,0.00165521
7,1302.34,2.64667,2.20637,1.99031,0.6046,0.38827,0.38085,0.12695,2.52235,2.18281,2.14916,0.00165285,0.00165285,0.00165285
8,1491.94,2.55891,2.12656,1.94393,0.71498,0.42488,0.49544,0.16234,2.37545,1.97146,2.10075,0.0016505,0.0016505,0.0016505
9,1680.87,2.50738,2.03747,1.91218,0.7724,0.4127,0.45274,0.16489,2.27869,2.24697,2.07359,0.00164814,0.00164814,0.00164814
10,1867.56,2.45599,1.92294,1.82177,0.71281,0.42262,0.50861,0.19451,2.37501,1.87117,2.05144,0.00164578,0.00164578,0.00164578
11,2055.48,2.41523,1.85191,1.8233,0.75119,0.39484,0.49539,0.16637,2.28587,1.72552,2.03924,0.00164342,0.00164342,0.00164342
12,2242.74,2.37501,1.785,1.7398,0.80269,0.47669,0.53454,0.21324,2.16958,1.93642,2.00628,0.00164107,0.00164107,0.00164107
13,2430.64,2.34691,1.74982,1.76598,0.70241,0.54315,0.54148,0.21393,2.12879,1.89509,1.98708,0.00163871,0.00163871,0.00163871
14,2616.62,2.32279,1.74817,1.75159,0.62612,0.50544,0.53297,0.22464,2.31031,1.9312,2.11083,0.00163635,0.00163635,0.00163635
15,2799.3,2.31826,1.64806,1.75723,0.58474,0.57081,0.59023,0.22843,2.15961,1.7071,1.98093,0.00163399,0.00163399,0.00163399
16,2979.35,2.29747,1.63211,1.73021,0.72504,0.48139,0.56567,0.21821,2.05735,2.20736,2.10376,0.00163164,0.00163164,0.00163164
17,3158.48,2.23508,1.60258,1.66362,0.75247,0.51711,0.58253,0.20722,2.13567,1.74898,2.04423,0.00162928,0.00162928,0.00162928
18,3339.49,2.19969,1.55075,1.64417,0.84543,0.53075,0.59184,0.22751,2.26067,2.13398,2.14815,0.00162692,0.00162692,0.00162692
19,3521.15,2.19392,1.54387,1.66258,0.86799,0.53955,0.65079,0.27023,1.95107,1.63057,1.89182,0.00162456,0.00162456,0.00162456
20,3702.33,2.19158,1.51138,1.65946,0.81822,0.5997,0.66947,0.27676,1.96297,1.78593,1.84275,0.00162221,0.00162221,0.00162221
21,3883.92,2.16894,1.48287,1.60671,0.68136,0.5046,0.5235,0.20906,1.97655,1.74952,1.94797,0.00161985,0.00161985,0.00161985
22,4062.75,2.13047,1.4657,1.57006,0.90547,0.53026,0.6359,0.26361,1.9791,1.68986,1.90012,0.00161749,0.00161749,0.00161749
23,4245.31,2.1039,1.43071,1.5816,0.75087,0.58929,0.62805,0.25493,1.99657,1.68153,1.91772,0.00161513,0.00161513,0.00161513
24,4429.47,2.08398,1.39454,1.55874,0.75053,0.5496,0.57464,0.21499,1.99056,1.90021,1.95856,0.00161277,0.00161277,0.00161277
25,4609.39,2.11789,1.42831,1.59394,0.71859,0.55903,0.61424,0.24069,2.0466,1.54281,1.96393,0.00161042,0.00161042,0.00161042
26,4789.65,2.06122,1.38172,1.54249,0.60037,0.58583,0.61032,0.24679,1.92708,1.69992,1.94637,0.00160806,0.00160806,0.00160806
27,4969.91,2.07583,1.37202,1.57208,0.87438,0.55723,0.66747,0.27023,2.04428,1.56817,1.91773,0.0016057,0.0016057,0.0016057
28,5149.6,2.02427,1.38142,1.54186,0.8288,0.63108,0.7032,0.27957,2.02838,1.37012,1.92168,0.00160334,0.00160334,0.00160334
29,5331.86,2.02925,1.32761,1.50825,0.8627,0.59144,0.68234,0.29107,1.95231,1.63029,1.90118,0.00160099,0.00160099,0.00160099
30,5512.46,2.00959,1.31902,1.49483,0.79825,0.63531,0.68878,0.29097,1.92644,1.61555,1.94165,0.00159863,0.00159863,0.00159863
31,5694.27,2.00351,1.30063,1.51537,0.83142,0.62698,0.69991,0.30009,1.90957,1.43349,1.87306,0.00159627,0.00159627,0.00159627
32,5876.25,1.98922,1.32489,1.55547,0.81839,0.66369,0.70411,0.29606,2.08634,1.5495,1.92434,0.00159391,0.00159391,0.00159391
33,6060.06,1.99924,1.3103,1.49446,0.78569,0.69395,0.73231,0.30134,1.94737,1.31496,1.78765,0.00159156,0.00159156,0.00159156
34,6242.03,2.00252,1.28535,1.48216,0.8015,0.69395,0.72823,0.31518,1.79195,1.45928,1.75544,0.0015892,0.0015892,0.0015892
35,6423.45,2.00786,1.31829,1.51885,0.91086,0.58189,0.67953,0.29309,2.15368,1.64941,2.01244,0.00158684,0.00158684,0.00158684
36,6606.38,1.94683,1.25212,1.48127,0.81176,0.62702,0.68602,0.28333,1.91031,1.54533,1.86802,0.00158448,0.00158448,0.00158448
