                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82288,                0.47033,                  1.011,                0.91792,                0.87658,                0.90163,                 0.5558,                 1.5026,                0.68361,                 1.7727,             0.00032576,             0.00032576,             0.00032576
                      2,                0.84789,                0.49305,                 1.0196,                0.92997,                0.87028,                0.90147,                0.56063,                  1.465,                 0.7529,                 1.6989,             0.00065583,             0.00065583,             0.00065583
                      3,                 0.8891,                0.51954,                 1.0271,                0.95011,                0.82383,                0.88307,                0.54321,                 1.3965,                0.73187,                 1.6646,              0.0009826,              0.0009826,              0.0009826
                      4,                0.89365,                 0.5322,                 1.0436,                0.89329,                0.84541,                0.88901,                0.56527,                 1.3577,                0.70885,                  1.596,             0.00098515,             0.00098515,             0.00098515
                      5,                  0.923,                0.54754,                 1.0535,                0.95596,                0.79289,                0.85447,                0.50304,                 1.6111,                0.83478,                 1.8876,              0.0009802,              0.0009802,              0.0009802
                      6,                0.91369,                0.54546,                 1.0516,                0.89326,                0.84393,                0.86892,                0.54049,                 1.4584,                0.77339,                 1.6903,             0.00097525,             0.00097525,             0.00097525
                      7,                0.90106,                0.54621,                 1.0425,                0.85074,                0.86494,                0.86516,                0.53811,                 1.5445,                0.83068,                 1.7504,              0.0009703,              0.0009703,              0.0009703
                      8,                0.92891,                0.55885,                 1.0628,                0.88102,                0.86495,                0.86697,                0.53499,                 1.5851,                0.81262,                 1.8314,             0.00096535,             0.00096535,             0.00096535
                      9,                0.91344,                 0.5459,                  1.064,                0.92784,                0.87892,                0.89322,                 0.5603,                 1.3544,                0.73393,                 1.5844,              0.0009604,              0.0009604,              0.0009604
                     10,                0.89498,                0.53387,                 1.0458,                0.79095,                0.83025,                 0.8385,                0.49471,                 1.7005,                 1.0771,                  2.002,             0.00095545,             0.00095545,             0.00095545
                     11,                0.91957,                 0.5538,                 1.0557,                0.89557,                0.84128,                0.86485,                0.52644,                 1.4685,                0.90356,                 1.7631,              0.0009505,              0.0009505,              0.0009505
                     12,                0.92452,                0.56367,                 1.0862,                0.90201,                0.85587,                0.89269,                0.55043,                 1.5368,                0.82707,                 1.7959,             0.00094555,             0.00094555,             0.00094555
